0,651,2
0,752,4
0,634,5
0,666,2
0,391,5
1,459,2
1,571,3
1,849,3
1,600,2
1,935,3
2,870,5
2,639,4
2,214,5
2,848,2
2,514,5
3,841,1
3,783,5
3,261,2
3,133,4
3,575,2
4,628,4
4,695,3
4,134,3
4,207,3
4,930,5
5,424,5
5,21,3
5,303,1
5,820,2
5,149,5
6,85,4
6,857,2
6,789,4
6,416,3
6,915,2
7,303,2
7,972,2
7,402,1
7,429,4
7,61,3
8,148,3
8,973,3
8,337,3
8,620,5
8,488,5
9,111,4
9,271,5
9,416,3
9,399,3
9,113,1
10,977,1
10,6,1
10,11,2
10,177,4
10,299,4
11,289,5
11,132,4
11,267,1
11,874,3
11,787,1
12,731,5
12,366,3
12,734,3
12,227,3
12,271,2
13,520,2
13,263,3
13,945,5
13,463,3
13,281,1
14,191,1
14,844,3
14,237,4
14,439,2
14,576,5
15,931,3
15,26,4
15,175,4
15,953,1
15,676,1
16,652,5
16,1,2
16,108,2
16,694,5
16,398,4
17,125,2
17,150,3
17,515,4
17,76,3
17,123,2
18,839,4
18,436,2
18,157,3
18,37,4
18,352,2
19,712,2
19,280,4
19,285,1
19,923,4
19,592,5
20,710,1
20,10,1
20,71,4
20,950,5
20,554,3
21,751,4
21,327,4
21,523,3
21,807,3
21,548,4
22,674,1
22,995,3
22,546,3
22,891,5
22,138,2
23,447,2
23,834,4
23,109,2
23,204,1
23,917,4
24,147,5
24,98,1
24,30,4
24,78,3
24,403,3
25,514,4
25,613,5
25,284,5
25,897,5
25,803,5
26,385,4
26,494,4
26,715,3
26,700,3
26,902,2
27,826,2
27,439,4
27,85,2
27,582,1
27,732,1
28,215,5
28,311,5
28,680,5
28,77,5
28,498,5
29,388,1
29,941,4
29,594,2
29,31,1
29,656,5
30,621,2
30,488,3
30,901,3
30,823,2
30,826,4
31,190,1
31,697,3
31,493,2
31,340,4
31,508,2
32,132,3
32,575,5
32,413,1
32,690,4
32,660,3
33,179,5
33,174,4
33,142,4
33,922,3
33,909,3
34,619,2
34,810,2
34,80,5
34,655,4
34,378,3
35,483,2
35,367,4
35,271,2
35,680,3
35,512,3
36,401,5
36,784,5
36,228,2
36,711,1
36,95,4
37,982,2
37,906,4
37,432,1
37,222,3
37,540,3
38,532,1
38,73,1
38,955,4
38,40,1
38,79,2
39,529,5
39,943,5
39,535,1
39,59,2
39,327,4
40,748,1
40,511,4
40,26,2
40,457,3
40,700,4
41,403,2
41,367,1
41,161,3
41,493,4
41,22,4
42,842,5
42,158,5
42,85,4
42,530,5
42,551,4
43,91,4
43,724,1
43,849,2
43,278,1
43,178,3
44,153,1
44,622,5
44,398,5
44,324,5
44,328,3
45,106,4
45,789,2
45,210,5
45,207,2
45,637,5
46,448,3
46,95,3
46,415,5
46,529,5
46,737,2
47,353,3
47,879,1
47,552,2
47,471,4
47,982,4
48,719,2
48,357,5
48,264,4
48,601,5
48,986,5
49,481,4
49,852,5
49,686,3
49,44,3
49,813,5
50,313,3
50,45,3
50,679,4
50,643,3
50,385,2
51,789,2
51,238,3
51,683,3
51,322,2
51,305,1
52,371,5
52,676,5
52,978,4
52,982,3
52,199,3
53,488,1
53,66,5
53,688,2
53,954,5
53,796,5
54,770,1
54,269,5
54,430,3
54,760,5
54,169,3
55,555,3
55,799,5
55,310,5
55,153,2
55,640,2
56,611,5
56,914,1
56,771,3
56,427,2
56,44,1
57,972,5
57,212,5
57,715,2
57,722,5
57,209,2
58,853,1
58,300,5
58,665,1
58,686,4
58,66,2
