0,994,2
0,174,2
0,872,4
0,24,2
0,764,2
0,82,4
0,110,3
0,680,3
0,537,3
0,186,2
0,100,4
0,853,1
0,272,3
0,853,4
0,440,4
0,263,2
0,462,5
0,657,3
0,970,1
0,691,2
0,739,3
0,720,3
0,395,1
0,88,5
0,146,4
0,168,3
0,20,3
0,628,1
1,929,4
1,828,3
1,279,2
1,786,4
1,504,3
1,161,1
1,577,1
1,629,4
1,995,4
1,341,1
1,135,2
1,49,3
1,971,3
1,258,3
1,671,3
1,800,1
2,893,1
2,719,1
2,899,5
2,94,2
2,34,1
2,368,3
2,374,1
2,59,5
2,57,3
2,840,5
3,278,3
3,932,5
3,421,5
4,12,2
4,550,4
4,475,2
4,779,1
4,771,3
4,544,1
4,525,3
4,882,3
4,581,3
4,949,4
4,918,5
4,207,4
4,573,5
4,871,2
4,887,3
4,221,2
4,550,5
4,321,4
4,945,2
4,78,1
4,233,2
4,336,5
4,467,5
4,858,4
4,796,1
4,670,3
4,454,1
4,192,4
4,808,2
4,992,3
4,233,1
4,820,3
4,925,4
4,748,2
4,68,1
4,881,4
5,227,1
5,755,5
5,836,5
5,316,2
5,730,5
5,856,5
5,840,2
5,842,2
5,306,3
5,638,5
5,646,4
5,164,2
5,274,2
5,759,5
5,463,1
5,29,2
5,832,4
5,325,4
5,524,4
5,79,1
5,494,2
5,419,1
5,776,3
5,391,3
5,143,4
5,599,3
5,328,5
5,303,5
5,839,5
5,823,5
5,467,1
5,613,2
5,780,4
5,509,2
5,230,2
5,485,2
5,61,2
5,684,4
5,817,2
5,647,1
5,122,2
5,428,2
5,361,2
5,700,3
5,31,1
5,83,4
5,829,4
5,638,2
5,2,5
5,907,2
6,799,5
6,141,4
6,819,1
6,860,2
6,873,3
7,817,4
7,828,5
7,264,2
7,261,1
7,310,4
7,376,5
7,873,5
7,764,2
7,619,4
7,367,2
8,488,1
8,707,3
8,245,4
8,284,5
8,495,5
8,44,4
8,72,2
8,993,4
8,988,2
8,82,2
8,576,5
8,531,2
8,89,5
8,946,1
8,174,5
8,980,5
8,329,4
8,606,5
8,523,3
8,160,3
8,661,1
8,436,1
8,459,2
8,60,2
9,411,2
9,578,5
9,204,5
9,262,2
9,858,3
9,142,4
9,273,1
9,373,1
9,751,2
9,497,1
9,40,3
9,860,4
9,92,3
9,897,1
9,627,4
9,819,2
9,33,3
9,382,4
9,217,5
9,717,3
9,780,2
9,633,2
9,266,2
9,430,5
9,345,4
9,12,4
9,436,5
9,9,1
9,721,4
9,692,2
9,473,3
9,703,4
10,78,1
10,605,3
10,904,5
10,849,4
10,159,3
10,54,2
10,676,4
10,927,2
10,358,4
10,323,5
10,546,1
10,390,4
10,122,4
10,741,2
10,860,4
10,638,4
10,99,1
10,639,3
11,614,1
11,382,2
11,137,3
11,738,2
11,748,5
11,218,5
11,269,1
11,899,1
11,692,2
11,63,4
11,663,1
11,822,3
11,53,1
11,374,1
11,439,5
11,536,4
11,413,3
11,742,5
11,825,3
11,825,5
11,398,1
11,705,3
12,586,3
12,332,2
12,122,3
12,19,3
12,899,1
12,790,1
12,703,2
12,253,4
12,362,5
12,160,5
12,924,1
12,211,4
12,801,1
12,190,2
12,234,2
12,455,3
